symbol,timestamp,datetime,side,price,amount,btc_volume
MDA/BTC,1587582370950,2020-04-22T19:06:10.950Z,sell,4.728e-05,708.0,0.03347424
MDA/BTC,1587582777871,2020-04-22T19:12:57.871Z,buy,4.73e-05,5.0,0.0002365
MDA/BTC,1587582807437,2020-04-22T19:13:27.437Z,buy,4.731e-05,4.0,0.00018924
MDA/BTC,1587582807437,2020-04-22T19:13:27.437Z,buy,4.732e-05,14.0,0.00066248
MDA/BTC,1587582807437,2020-04-22T19:13:27.437Z,buy,4.733e-05,5.0,0.00023665
MDA/BTC,1587582807437,2020-04-22T19:13:27.437Z,buy,4.735e-05,15.0,0.0007102499999999
MDA/BTC,1587582807437,2020-04-22T19:13:27.437Z,buy,4.737e-05,19.0,0.00090003
MDA/BTC,1587582857738,2020-04-22T19:14:17.738Z,buy,4.738e-05,8.0,0.00037904
MDA/BTC,1587582857738,2020-04-22T19:14:17.738Z,buy,4.739e-05,3.0,0.00014217
MDA/BTC,1587582857738,2020-04-22T19:14:17.738Z,buy,4.742e-05,137.0,0.00649654
MDA/BTC,1587583303914,2020-04-22T19:21:43.914Z,buy,4.741e-05,217.0,0.01028797
MDA/BTC,1587583303914,2020-04-22T19:21:43.914Z,buy,4.742e-05,582.0,0.02759844
MDA/BTC,1587583354957,2020-04-22T19:22:34.957Z,buy,4.742e-05,3.0,0.00014226
MDA/BTC,1587583419570,2020-04-22T19:23:39.570Z,buy,4.742e-05,5.0,0.0002371
MDA/BTC,1587583613364,2020-04-22T19:26:53.364Z,buy,4.742e-05,245.0,0.0116179
MDA/BTC,1587583613388,2020-04-22T19:26:53.388Z,buy,4.742e-05,209.0,0.00991078
MDA/BTC,1587583624495,2020-04-22T19:27:04.495Z,buy,4.75e-05,8.0,0.00038
MDA/BTC,1587583624495,2020-04-22T19:27:04.495Z,buy,4.753e-05,3.0,0.00014259
MDA/BTC,1587583624495,2020-04-22T19:27:04.495Z,buy,4.754e-05,55.0,0.0026147
MDA/BTC,1587583630357,2020-04-22T19:27:10.357Z,buy,4.754e-05,3.0,0.00014262
MDA/BTC,1587583631662,2020-04-22T19:27:11.662Z,sell,4.747e-05,3.0,0.00014241
MDA/BTC,1587583780550,2020-04-22T19:29:40.550Z,sell,4.743e-05,1899.0,0.09006957
MDA/BTC,1587584285493,2020-04-22T19:38:05.493Z,sell,4.738e-05,663.0,0.03141294
MDA/BTC,1587584463489,2020-04-22T19:41:03.489Z,buy,4.753e-05,5.0,0.00023765
MDA/BTC,1587584463489,2020-04-22T19:41:03.489Z,buy,4.754e-05,47.0,0.00223438
MDA/BTC,1587584848311,2020-04-22T19:47:28.311Z,sell,4.74e-05,3.0,0.0001422
MDA/BTC,1587585189804,2020-04-22T19:53:09.804Z,sell,4.742e-05,200.0,0.009484
MDA/BTC,1587585189804,2020-04-22T19:53:09.804Z,sell,4.74e-05,2425.0,0.114945
MDA/BTC,1587585189827,2020-04-22T19:53:09.827Z,buy,4.74e-05,15.0,0.000711
MDA/BTC,1587585189860,2020-04-22T19:53:09.860Z,sell,4.738e-05,310.0,0.0146877999999999
MDA/BTC,1587585189860,2020-04-22T19:53:09.860Z,sell,4.737e-05,30.0,0.0014211
MDA/BTC,1587585539121,2020-04-22T19:58:59.121Z,sell,4.737e-05,764.0,0.03619068
MDA/BTC,1587585539121,2020-04-22T19:58:59.121Z,sell,4.737e-05,764.0,0.03619068
MDA/BTC,1587586014524,2020-04-22T20:06:54.524Z,sell,4.738e-05,256.0,0.01212928
MDA/BTC,1587586014524,2020-04-22T20:06:54.524Z,sell,4.737e-05,494.0,0.02340078
MDA/BTC,1587586039151,2020-04-22T20:07:19.151Z,sell,4.737e-05,750.0,0.0355275
MDA/BTC,1587586065377,2020-04-22T20:07:45.377Z,buy,4.753e-05,5.0,0.00023765
MDA/BTC,1587586065377,2020-04-22T20:07:45.377Z,buy,4.754e-05,105.0,0.0049917
MDA/BTC,1587586520569,2020-04-22T20:15:20.569Z,sell,4.737e-05,3932.0,0.18625884
MDA/BTC,1587586834795,2020-04-22T20:20:34.795Z,buy,4.752e-05,5.0,0.0002376
MDA/BTC,1587586834795,2020-04-22T20:20:34.795Z,buy,4.753e-05,37.0,0.00175861
MDA/BTC,1587587509719,2020-04-22T20:31:49.719Z,buy,4.753e-05,3.0,0.00014259
MDA/BTC,1587587509719,2020-04-22T20:31:49.719Z,buy,4.754e-05,39.0,0.00185406
MDA/BTC,1587587533980,2020-04-22T20:32:13.980Z,buy,4.754e-05,63.0,0.00299502
MDA/BTC,1587587544879,2020-04-22T20:32:24.879Z,buy,4.754e-05,253.0,0.01202762
MDA/BTC,1587587561801,2020-04-22T20:32:41.801Z,sell,4.754e-05,208.0,0.00988832
MDA/BTC,1587587561818,2020-04-22T20:32:41.818Z,sell,4.754e-05,45.0,0.0021393
MDA/BTC,1587587572906,2020-04-22T20:32:52.906Z,sell,4.754e-05,161.0,0.00765394
MDA/BTC,1587587572911,2020-04-22T20:32:52.911Z,sell,4.754e-05,92.0,0.00437368
MDA/BTC,1587587580811,2020-04-22T20:33:00.811Z,sell,4.753e-05,166.0,0.00788998
MDA/BTC,1587587580824,2020-04-22T20:33:00.824Z,sell,4.753e-05,87.0,0.00413511
MDA/BTC,1587587590552,2020-04-22T20:33:10.552Z,sell,4.752e-05,253.0,0.01202256
MDA/BTC,1587587598230,2020-04-22T20:33:18.230Z,sell,4.751e-05,253.0,0.01202003
MDA/BTC,1587587629319,2020-04-22T20:33:49.319Z,buy,4.756e-05,20.0,0.0009511999999999
MDA/BTC,1587587629319,2020-04-22T20:33:49.319Z,buy,4.757e-05,13.0,0.00061841
MDA/BTC,1587587637832,2020-04-22T20:33:57.832Z,sell,4.759e-05,33.0,0.0015704699999999
MDA/BTC,1587587637832,2020-04-22T20:33:57.832Z,sell,4.758e-05,9.0,0.00042822
MDA/BTC,1587587685653,2020-04-22T20:34:45.653Z,sell,4.754e-05,200.0,0.009508
MDA/BTC,1587587696463,2020-04-22T20:34:56.463Z,sell,4.754e-05,169.0,0.00803426
MDA/BTC,1587587697564,2020-04-22T20:34:57.564Z,sell,4.754e-05,31.0,0.00147374
MDA/BTC,1587587712670,2020-04-22T20:35:12.670Z,sell,4.754e-05,95.0,0.0045163
MDA/BTC,1587587714265,2020-04-22T20:35:14.265Z,sell,4.754e-05,66.0,0.00313764
MDA/BTC,1587587715571,2020-04-22T20:35:15.571Z,sell,4.754e-05,39.0,0.00185406
MDA/BTC,1587587766992,2020-04-22T20:36:06.992Z,sell,4.754e-05,22.0,0.00104588
MDA/BTC,1587587812718,2020-04-22T20:36:52.718Z,buy,4.757e-05,3.0,0.00014271
MDA/BTC,1587587828705,2020-04-22T20:37:08.705Z,buy,4.758e-05,3.0,0.00014274
MDA/BTC,1587587838120,2020-04-22T20:37:18.120Z,sell,4.757e-05,3.0,0.00014271
MDA/BTC,1587587880097,2020-04-22T20:38:00.097Z,buy,4.758e-05,57.0,0.00271206
MDA/BTC,1587587880116,2020-04-22T20:38:00.116Z,sell,4.757e-05,50.0,0.0023785
MDA/BTC,1587587881250,2020-04-22T20:38:01.250Z,sell,4.757e-05,34.0,0.00161738
MDA/BTC,1587587889452,2020-04-22T20:38:09.452Z,sell,4.757e-05,10.0,0.0004757
MDA/BTC,1587587889452,2020-04-22T20:38:09.452Z,sell,4.756e-05,12.0,0.00057072
MDA/BTC,1587588043446,2020-04-22T20:40:43.446Z,buy,4.758e-05,60.0,0.0028548
MDA/BTC,1587588043459,2020-04-22T20:40:43.459Z,sell,4.757e-05,46.0,0.00218822
MDA/BTC,1587588051826,2020-04-22T20:40:51.826Z,sell,4.757e-05,14.0,0.00066598
MDA/BTC,1587588051826,2020-04-22T20:40:51.826Z,sell,4.756e-05,16.0,0.00076096
MDA/BTC,1587588104065,2020-04-22T20:41:44.065Z,buy,4.758e-05,60.0,0.0028548
MDA/BTC,1587588104065,2020-04-22T20:41:44.065Z,sell,4.757e-05,13.0,0.00061841
MDA/BTC,1587588104078,2020-04-22T20:41:44.078Z,sell,4.757e-05,47.0,0.00223579
MDA/BTC,1587588105157,2020-04-22T20:41:45.157Z,sell,4.756e-05,50.0,0.002378
MDA/BTC,1587588106147,2020-04-22T20:41:46.147Z,sell,4.756e-05,22.0,0.0010463199999999
MDA/BTC,1587588123159,2020-04-22T20:42:03.159Z,sell,4.757e-05,24.0,0.00114168
MDA/BTC,1587588197688,2020-04-22T20:43:17.688Z,buy,4.758e-05,5.0,0.0002379
MDA/BTC,1587588200664,2020-04-22T20:43:20.664Z,buy,4.758e-05,25.0,0.0011895
MDA/BTC,1587588200679,2020-04-22T20:43:20.679Z,sell,4.757e-05,30.0,0.0014271
MDA/BTC,1587588206556,2020-04-22T20:43:26.556Z,buy,4.758e-05,25.0,0.0011895
MDA/BTC,1587588228086,2020-04-22T20:43:48.086Z,buy,4.758e-05,25.0,0.0011895
MDA/BTC,1587588303589,2020-04-22T20:45:03.589Z,buy,4.758e-05,20.0,0.0009516
MDA/BTC,1587588308664,2020-04-22T20:45:08.664Z,buy,4.758e-05,821.0,0.03906318
MDA/BTC,1587588331678,2020-04-22T20:45:31.678Z,buy,4.758e-05,82.0,0.00390156
MDA/BTC,1587588355656,2020-04-22T20:45:55.656Z,buy,4.76e-05,11.0,0.0005235999999999
MDA/BTC,1587588576732,2020-04-22T20:49:36.732Z,buy,4.76e-05,94.0,0.0044744
MDA/BTC,1587588589108,2020-04-22T20:49:49.108Z,buy,4.761e-05,12.0,0.0005713199999999
MDA/BTC,1587588638126,2020-04-22T20:50:38.126Z,sell,4.757e-05,4.0,0.00019028
MDA/BTC,1587588656125,2020-04-22T20:50:56.125Z,buy,4.761e-05,21.0,0.00099981
MDA/BTC,1587589114231,2020-04-22T20:58:34.231Z,buy,4.761e-05,508.0,0.02418588
MDA/BTC,1587589114231,2020-04-22T20:58:34.231Z,buy,4.761e-05,508.0,0.02418588
MDA/BTC,1587589273994,2020-04-22T21:01:13.994Z,buy,4.761e-05,16.0,0.00076176
MDA/BTC,1587589387565,2020-04-22T21:03:07.565Z,sell,4.757e-05,41.0,0.00195037
MDA/BTC,1587589392352,2020-04-22T21:03:12.352Z,sell,4.757e-05,4.0,0.00019028
MDA/BTC,1587589958149,2020-04-22T21:12:38.149Z,buy,4.758e-05,4.0,0.00019032
MDA/BTC,1587590031864,2020-04-22T21:13:51.864Z,buy,4.759e-05,5.0,0.0002379499999999
MDA/BTC,1587590031864,2020-04-22T21:13:51.864Z,buy,4.761e-05,312.0,0.01485432
MDA/BTC,1587590066205,2020-04-22T21:14:26.205Z,buy,4.761e-05,12.0,0.0005713199999999
MDA/BTC,1587590066219,2020-04-22T21:14:26.219Z,sell,4.762e-05,176.0,0.00838112
MDA/BTC,1587590067324,2020-04-22T21:14:27.324Z,sell,4.762e-05,122.0,0.00580964
MDA/BTC,1587590068325,2020-04-22T21:14:28.325Z,sell,4.762e-05,85.0,0.0040477
MDA/BTC,1587590070323,2020-04-22T21:14:30.323Z,sell,4.762e-05,58.0,0.00276196
MDA/BTC,1587590071425,2020-04-22T21:14:31.425Z,sell,4.762e-05,40.0,0.0019048
MDA/BTC,1587590073028,2020-04-22T21:14:33.028Z,sell,4.762e-05,28.0,0.00133336
MDA/BTC,1587590123100,2020-04-22T21:15:23.100Z,sell,4.762e-05,100.0,0.004762
MDA/BTC,1587590123110,2020-04-22T21:15:23.110Z,sell,4.762e-05,83.0,0.00395246
MDA/BTC,1587590322837,2020-04-22T21:18:42.837Z,buy,4.764e-05,588.0,0.02801232
MDA/BTC,1587590324726,2020-04-22T21:18:44.726Z,buy,4.766e-05,416.0,0.01982656
MDA/BTC,1587590325930,2020-04-22T21:18:45.930Z,buy,4.766e-05,171.0,0.00814986
MDA/BTC,1587590325930,2020-04-22T21:18:45.930Z,buy,4.768e-05,4.0,0.00019072
MDA/BTC,1587590325930,2020-04-22T21:18:45.930Z,buy,4.769e-05,94.0,0.00448286
MDA/BTC,1587590325930,2020-04-22T21:18:45.930Z,buy,4.77e-05,5.0,0.0002385
MDA/BTC,1587590329724,2020-04-22T21:18:49.724Z,buy,4.773e-05,502.0,0.02396046
MDA/BTC,1587590338482,2020-04-22T21:18:58.482Z,buy,4.774e-05,4.0,0.00019096
MDA/BTC,1587590338482,2020-04-22T21:18:58.482Z,buy,4.775e-05,21.0,0.00100275
MDA/BTC,1587590338482,2020-04-22T21:18:58.482Z,buy,4.782e-05,5.0,0.0002391
MDA/BTC,1587590338482,2020-04-22T21:18:58.482Z,buy,4.783e-05,73.0,0.00349159
MDA/BTC,1587590338482,2020-04-22T21:18:58.482Z,buy,4.784e-05,1290.0,0.0617136
MDA/BTC,1587590338499,2020-04-22T21:18:58.499Z,sell,4.784e-05,103.0,0.00492752
MDA/BTC,1587590338499,2020-04-22T21:18:58.499Z,sell,4.784e-05,64.0,0.00306176
MDA/BTC,1587590339660,2020-04-22T21:18:59.660Z,buy,4.785e-05,5.0,0.00023925
MDA/BTC,1587590339660,2020-04-22T21:18:59.660Z,buy,4.786e-05,5.0,0.0002393
MDA/BTC,1587590339660,2020-04-22T21:18:59.660Z,buy,4.788e-05,81.0,0.00387828
MDA/BTC,1587590339660,2020-04-22T21:18:59.660Z,buy,4.793e-05,378.0,0.0181175399999999
MDA/BTC,1587590345005,2020-04-22T21:19:05.005Z,buy,4.794e-05,8.0,0.00038352
MDA/BTC,1587590345005,2020-04-22T21:19:05.005Z,buy,4.796e-05,790.0,0.0378884
MDA/BTC,1587590345005,2020-04-22T21:19:05.005Z,buy,4.798e-05,1539.0,0.07384122
MDA/BTC,1587590345005,2020-04-22T21:19:05.005Z,buy,4.8e-05,488.0,0.023424
MDA/BTC,1587590356229,2020-04-22T21:19:16.229Z,buy,4.8e-05,53.0,0.002544
MDA/BTC,1587590356229,2020-04-22T21:19:16.229Z,buy,4.801e-05,5.0,0.00024005
MDA/BTC,1587590356229,2020-04-22T21:19:16.229Z,buy,4.803e-05,31.0,0.00148893
MDA/BTC,1587590356252,2020-04-22T21:19:16.252Z,sell,4.803e-05,897.0,0.04308291
MDA/BTC,1587590356272,2020-04-22T21:19:16.272Z,sell,4.803e-05,896.0,0.04303488
MDA/BTC,1587590356276,2020-04-22T21:19:16.276Z,sell,4.803e-05,122.0,0.00585966
MDA/BTC,1587590356573,2020-04-22T21:19:16.573Z,sell,4.803e-05,98.0,0.00470694
MDA/BTC,1587590356782,2020-04-22T21:19:16.782Z,sell,4.803e-05,99.0,0.00475497
MDA/BTC,1587590357462,2020-04-22T21:19:17.462Z,sell,4.803e-05,476.0,0.02286228
MDA/BTC,1587590378334,2020-04-22T21:19:38.334Z,buy,4.809e-05,4.0,0.00019236
MDA/BTC,1587590378334,2020-04-22T21:19:38.334Z,buy,4.81e-05,9.0,0.0004328999999999
MDA/BTC,1587590378334,2020-04-22T21:19:38.334Z,buy,4.815e-05,10.0,0.0004815
MDA/BTC,1587590378334,2020-04-22T21:19:38.334Z,buy,4.816e-05,4.0,0.00019264
MDA/BTC,1587590378334,2020-04-22T21:19:38.334Z,buy,4.819e-05,2104.0,0.10139176
MDA/BTC,1587590411770,2020-04-22T21:20:11.770Z,buy,4.811e-05,3.0,0.00014433
MDA/BTC,1587590411770,2020-04-22T21:20:11.770Z,buy,4.815e-05,240.0,0.011556
MDA/BTC,1587590426912,2020-04-22T21:20:26.912Z,buy,4.815e-05,237.0,0.01141155
MDA/BTC,1587590426912,2020-04-22T21:20:26.912Z,buy,4.82e-05,3917.0,0.1887994
MDA/BTC,1587590437656,2020-04-22T21:20:37.656Z,buy,4.824e-05,60.0,0.0028944
MDA/BTC,1587590442042,2020-04-22T21:20:42.042Z,buy,4.824e-05,42.0,0.00202608
MDA/BTC,1587590445803,2020-04-22T21:20:45.803Z,buy,4.824e-05,83.0,0.00400392
MDA/BTC,1587590450404,2020-04-22T21:20:50.404Z,buy,4.824e-05,31.0,0.00149544
MDA/BTC,1587590457366,2020-04-22T21:20:57.366Z,buy,4.824e-05,5510.0,0.2658024
MDA/BTC,1587590468203,2020-04-22T21:21:08.203Z,sell,4.824e-05,414.0,0.01997136
MDA/BTC,1587590468220,2020-04-22T21:21:08.220Z,sell,4.824e-05,55.0,0.0026532
MDA/BTC,1587590468223,2020-04-22T21:21:08.223Z,sell,4.824e-05,57.0,0.00274968
MDA/BTC,1587590469013,2020-04-22T21:21:09.013Z,buy,4.824e-05,406.0,0.01958544
MDA/BTC,1587590469280,2020-04-22T21:21:09.280Z,sell,4.824e-05,72.0,0.00347328
MDA/BTC,1587590470677,2020-04-22T21:21:10.677Z,sell,4.82e-05,55.0,0.002651
MDA/BTC,1587590472085,2020-04-22T21:21:12.085Z,sell,4.82e-05,42.0,0.0020244
MDA/BTC,1587590472136,2020-04-22T21:21:12.136Z,buy,4.825e-05,6.0,0.0002895
MDA/BTC,1587590474894,2020-04-22T21:21:14.894Z,sell,4.804e-05,295.0,0.0141718
MDA/BTC,1587590474894,2020-04-22T21:21:14.894Z,sell,4.803e-05,1098.0,0.0527369399999999
MDA/BTC,1587590474902,2020-04-22T21:21:14.902Z,sell,4.803e-05,472.0,0.0226701599999999
MDA/BTC,1587590476336,2020-04-22T21:21:16.336Z,buy,4.824e-05,145.0,0.0069948
MDA/BTC,1587590476339,2020-04-22T21:21:16.339Z,buy,4.824e-05,154.0,0.00742896
MDA/BTC,1587590476339,2020-04-22T21:21:16.339Z,buy,4.825e-05,10.0,0.0004825
MDA/BTC,1587590476339,2020-04-22T21:21:16.339Z,buy,4.827e-05,64.0,0.00308928
MDA/BTC,1587590476340,2020-04-22T21:21:16.340Z,buy,4.827e-05,139.0,0.00670953
MDA/BTC,1587590476347,2020-04-22T21:21:16.347Z,buy,4.827e-05,139.0,0.00670953
MDA/BTC,1587590479897,2020-04-22T21:21:19.897Z,sell,4.813e-05,15.0,0.00072195
MDA/BTC,1587590480012,2020-04-22T21:21:20.012Z,sell,4.813e-05,15.0,0.00072195
MDA/BTC,1587590495587,2020-04-22T21:21:35.587Z,sell,4.813e-05,202.0,0.00972226
MDA/BTC,1587590498820,2020-04-22T21:21:38.820Z,buy,4.813e-05,1208.0,0.05814104
MDA/BTC,1587590526683,2020-04-22T21:22:06.683Z,buy,4.813e-05,1038.0,0.04995894
MDA/BTC,1587590529767,2020-04-22T21:22:09.767Z,buy,4.813e-05,100.0,0.004813
MDA/BTC,1587590543736,2020-04-22T21:22:23.736Z,sell,4.803e-05,962.0,0.04620486
MDA/BTC,1587590551863,2020-04-22T21:22:31.863Z,sell,4.803e-05,110.0,0.0052833
MDA/BTC,1587590551913,2020-04-22T21:22:31.913Z,sell,4.803e-05,743.0,0.03568629
MDA/BTC,1587590552081,2020-04-22T21:22:32.081Z,sell,4.803e-05,87.0,0.00417861
MDA/BTC,1587590552105,2020-04-22T21:22:32.105Z,sell,4.803e-05,716.0,0.03438948
MDA/BTC,1587590565580,2020-04-22T21:22:45.580Z,buy,4.81e-05,109.0,0.0052429
MDA/BTC,1587590565580,2020-04-22T21:22:45.580Z,buy,4.812e-05,14.0,0.00067368
MDA/BTC,1587590584531,2020-04-22T21:23:04.531Z,sell,4.784e-05,98.0,0.00468832
MDA/BTC,1587590584531,2020-04-22T21:23:04.531Z,sell,4.784e-05,32.0,0.00153088
MDA/BTC,1587590584531,2020-04-22T21:23:04.531Z,sell,4.784e-05,88.0,0.00420992
MDA/BTC,1587590601122,2020-04-22T21:23:21.122Z,buy,4.784e-05,245.0,0.0117208
MDA/BTC,1587590605167,2020-04-22T21:23:25.167Z,buy,4.789e-05,66.0,0.00316074
MDA/BTC,1587590606189,2020-04-22T21:23:26.189Z,buy,4.812e-05,4.0,0.00019248
MDA/BTC,1587590657487,2020-04-22T21:24:17.487Z,buy,4.803e-05,222.0,0.01066266
MDA/BTC,1587590657487,2020-04-22T21:24:17.487Z,buy,4.807e-05,788.0,0.03787916
MDA/BTC,1587590657487,2020-04-22T21:24:17.487Z,buy,4.812e-05,278.0,0.01337736
MDA/BTC,1587590657487,2020-04-22T21:24:17.487Z,buy,4.813e-05,1905.0,0.09168765
MDA/BTC,1587590665463,2020-04-22T21:24:25.463Z,sell,4.813e-05,44.0,0.00211772
MDA/BTC,1587590674017,2020-04-22T21:24:34.017Z,sell,4.813e-05,85.0,0.00409105
MDA/BTC,1587590674086,2020-04-22T21:24:34.086Z,sell,4.813e-05,652.0,0.03138076
MDA/BTC,1587590682610,2020-04-22T21:24:42.610Z,sell,4.791e-05,258.0,0.01236078
MDA/BTC,1587590682610,2020-04-22T21:24:42.610Z,sell,4.79e-05,424.0,0.0203096
MDA/BTC,1587590696722,2020-04-22T21:24:56.722Z,sell,4.805e-05,97.0,0.00466085
MDA/BTC,1587590710782,2020-04-22T21:25:10.782Z,buy,4.815e-05,4.0,0.0001926
MDA/BTC,1587590751113,2020-04-22T21:25:51.113Z,sell,4.815e-05,309.0,0.01487835
MDA/BTC,1587590760611,2020-04-22T21:26:00.611Z,sell,4.815e-05,77.0,0.00370755
MDA/BTC,1587590764162,2020-04-22T21:26:04.162Z,sell,4.805e-05,371.0,0.01782655
MDA/BTC,1587590795467,2020-04-22T21:26:35.467Z,sell,4.805e-05,243.0,0.01167615
MDA/BTC,1587590795467,2020-04-22T21:26:35.467Z,sell,4.803e-05,29.0,0.00139287
MDA/BTC,1587590831417,2020-04-22T21:27:11.417Z,sell,4.806e-05,116.0,0.0055749599999999
MDA/BTC,1587590831417,2020-04-22T21:27:11.417Z,sell,4.804e-05,397.0,0.01907188
MDA/BTC,1587590831417,2020-04-22T21:27:11.417Z,sell,4.803e-05,307.0,0.01474521
MDA/BTC,1587590831423,2020-04-22T21:27:11.423Z,sell,4.803e-05,25.0,0.00120075
MDA/BTC,1587590831935,2020-04-22T21:27:11.935Z,sell,4.807e-05,58.0,0.0027880599999999
MDA/BTC,1587590843818,2020-04-22T21:27:23.818Z,sell,4.803e-05,4.0,0.00019212
MDA/BTC,1587590852433,2020-04-22T21:27:32.433Z,buy,4.804e-05,8.0,0.00038432
MDA/BTC,1587590867870,2020-04-22T21:27:47.870Z,buy,4.821e-05,5.0,0.00024105
MDA/BTC,1587590871022,2020-04-22T21:27:51.022Z,buy,4.821e-05,20.0,0.0009642
MDA/BTC,1587590880517,2020-04-22T21:28:00.517Z,sell,4.814e-05,3.0,0.00014442
MDA/BTC,1587590880517,2020-04-22T21:28:00.517Z,sell,4.804e-05,49.0,0.00235396
MDA/BTC,1587590880528,2020-04-22T21:28:00.528Z,sell,4.804e-05,1.0,4.804e-05
MDA/BTC,1587590880528,2020-04-22T21:28:00.528Z,sell,4.803e-05,294.0,0.01412082
MDA/BTC,1587590880528,2020-04-22T21:28:00.528Z,sell,4.8e-05,90.0,0.00432
MDA/BTC,1587590958046,2020-04-22T21:29:18.046Z,buy,4.82e-05,3.0,0.0001446
MDA/BTC,1587590974569,2020-04-22T21:29:34.569Z,buy,4.82e-05,12.0,0.0005784
MDA/BTC,1587590974569,2020-04-22T21:29:34.569Z,buy,4.821e-05,266.0,0.01282386
MDA/BTC,1587591165846,2020-04-22T21:32:45.846Z,sell,4.813e-05,3.0,0.00014439
MDA/BTC,1587591165846,2020-04-22T21:32:45.846Z,sell,4.804e-05,3.0,0.00014412
MDA/BTC,1587591165846,2020-04-22T21:32:45.846Z,sell,4.802e-05,118.0,0.00566636
MDA/BTC,1587591165846,2020-04-22T21:32:45.846Z,sell,4.801e-05,27.0,0.00129627
MDA/BTC,1587591279813,2020-04-22T21:34:39.813Z,buy,4.819e-05,5.0,0.0002409499999999
MDA/BTC,1587591279813,2020-04-22T21:34:39.813Z,buy,4.821e-05,495.0,0.02386395
MDA/BTC,1587591279813,2020-04-22T21:34:39.813Z,buy,4.823e-05,218.0,0.01051414
MDA/BTC,1587591285858,2020-04-22T21:34:45.858Z,sell,4.823e-05,183.0,0.00882609
MDA/BTC,1587591286546,2020-04-22T21:34:46.546Z,sell,4.823e-05,6.0,0.00028938
MDA/BTC,1587591297704,2020-04-22T21:34:57.704Z,buy,4.824e-05,8.0,0.00038592
MDA/BTC,1587591297704,2020-04-22T21:34:57.704Z,buy,4.827e-05,15.0,0.00072405
MDA/BTC,1587591297704,2020-04-22T21:34:57.704Z,buy,4.828e-05,6.0,0.00028968
MDA/BTC,1587591297704,2020-04-22T21:34:57.704Z,buy,4.829e-05,1.0,4.829e-05
MDA/BTC,1587591320986,2020-04-22T21:35:20.986Z,buy,4.829e-05,12.0,0.00057948
MDA/BTC,1587591320986,2020-04-22T21:35:20.986Z,buy,4.831e-05,5.0,0.00024155
MDA/BTC,1587591320986,2020-04-22T21:35:20.986Z,buy,4.832e-05,454.0,0.02193728
MDA/BTC,1587591320986,2020-04-22T21:35:20.986Z,buy,4.833e-05,231.0,0.01116423
MDA/BTC,1587591336722,2020-04-22T21:35:36.722Z,buy,4.83e-05,703.0,0.0339549
MDA/BTC,1587591354561,2020-04-22T21:35:54.561Z,buy,4.829e-05,61.0,0.00294569
MDA/BTC,1587591358302,2020-04-22T21:35:58.302Z,buy,4.829e-05,205.0,0.00989945
MDA/BTC,1587591364228,2020-04-22T21:36:04.228Z,buy,4.829e-05,98.0,0.00473242
MDA/BTC,1587591380585,2020-04-22T21:36:20.585Z,buy,4.829e-05,51.0,0.00246279
MDA/BTC,1587591429341,2020-04-22T21:37:09.341Z,buy,4.829e-05,3.0,0.00014487
MDA/BTC,1587591488314,2020-04-22T21:38:08.314Z,sell,4.823e-05,151.0,0.0072827299999999
MDA/BTC,1587591488329,2020-04-22T21:38:08.329Z,sell,4.823e-05,350.0,0.0168805
MDA/BTC,1587591495825,2020-04-22T21:38:15.825Z,buy,4.83e-05,94.0,0.0045402
MDA/BTC,1587591501207,2020-04-22T21:38:21.207Z,buy,4.83e-05,25.0,0.0012075
MDA/BTC,1587591503377,2020-04-22T21:38:23.377Z,buy,4.83e-05,854.0,0.0412482
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.83e-05,1318.0,0.0636594
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.833e-05,91.0,0.00439803
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.834e-05,2619.0,0.12660246
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.836e-05,27.0,0.00130572
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.84e-05,3.0,0.0001452
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.841e-05,3.0,0.00014523
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.842e-05,5.0,0.0002421
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.843e-05,288.0,0.01394784
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.844e-05,15.0,0.0007266
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.846e-05,32.0,0.00155072
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.848e-05,308.0,0.0149318399999999
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.849e-05,62.0,0.00300638
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.85e-05,119.0,0.0057715
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.855e-05,3.0,0.00014565
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.857e-05,220.0,0.0106854
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.858e-05,8.0,0.00038864
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.86e-05,77.0,0.0037422
MDA/BTC,1587591505280,2020-04-22T21:38:25.280Z,buy,4.862e-05,4.0,0.00019448
